Location,Milk,Rent,Meal,Water
"Idaho Falls, ID",3.47,800.00,16.00,1.62
"Independence, MO",4.56,0,13.00,2.00
"Indianapolis, IN",3.29,"1,615.00",25.00,2.33
"Indio, CA",4.46,"2,200.00",20.00,2.48
"Inverness, FL",3.97,850.00,0,0
"Iola, KS",2.50,0,9.00,0
"Iowa City, IA",3.38,"1,783.33",15.00,1.45
"Irvine, CA",4.64,"2,512.78",20.00,2.50
"Irving, TX",4.23,"1,062.50",15.00,1.00
"Islip, NY",2.95,"2,000.00",17.00,1.50
"Issaquah, WA",4.57,"2,150.00",20.00,2.47
"Ithaca, NY",3.81,"1,475.00",19.00,2.22
"Jackson, MS",3.35,866.67,15.50,1.63
"Jackson, TN",3.63,950.00,16.00,2.14
"Jackson, WY",4.00,"3,000.00",22.00,2.50
"Jacksonville, FL",4.85,"1,642.58",18.00,1.98
"Jacksonville, NC",3.34,0,18.00,1.75
"Janesville, WI",4.53,0,18.50,0
"Jasper, IN",0,900.00,0,0
"Jefferson City, MO",2.50,0,15.00,1.50
"Jeffersonville, IN",2.81,800.00,13.00,0
"Jersey City, NJ",4.68,"3,122.22",17.00,1.79
"Johnson City, TN",3.68,908.33,13.50,1.62
"Johnstown, PA",4.13,612.50,17.50,2.70
"Jonesboro, AR",3.50,"1,300.00",10.00,1.50
"Joplin, MO",3.33,0,18.00,1.67
"Juneau, AK",5.16,"1,550.00",18.50,1.48
"Jupiter, FL",4.19,"2,200.00",25.00,0
"Kahului, HI",0,0,32.50,0
"Kailua, HI",7.25,"2,500.00",21.00,2.00
"Kalamazoo, MI",2.72,"1,200.00",15.00,1.83
"Kalispell, MT",4.16,"1,850.00",15.00,1.75
"Kaneohe, HI",9.00,"2,700.00",0,0
"Kansas City, KS",3.95,"1,366.67",24.50,4.00
"Kansas City, MO",4.20,"1,409.00",16.00,2.11
"Katy, TX",4.01,"1,700.00",13.50,2.08
"Kearney, NE",3.66,0,15.00,2.04
"Keene, NH",4.29,"1,800.00",17.00,0
"Keller, TX",3.33,"1,632.50",35.00,0
"Kennesaw, GA",3.70,"1,905.50",16.50,1.00
"Kennewick, WA",3.70,900.00,18.00,2.11
"Kenosha, WI",2.72,"1,266.67",15.00,1.92
"Kent, OH",2.99,0,25.00,1.50
"Kent, WA",3.98,"2,050.00",18.00,2.11
"Ketchikan, AK",0,"1,625.00",40.00,2.69
"Key West, FL",4.23,"3,300.00",21.00,2.12
"Killeen, TX",3.50,"1,033.33",20.00,1.63
"Kingman, AZ",4.05,0,12.00,1.50
"Kings Park, NY",4.00,0,15.00,2.16
"Kingsport, TN",3.30,800.00,16.50,1.85
"Kingston, NY",3.99,"1,533.33",15.00,2.43
"Kirksville, MO",4.59,0,50.00,1.59
"Kissimmee, FL",4.13,"1,300.00",15.00,1.39
"Klamath Falls, OR",3.51,"1,037.50",15.00,2.23
"Knoxville, TN",3.76,"1,507.88",13.50,1.82
"Kodiak, AK",4.50,"1,400.00",0,0
"Kokomo, IN",4.26,850.00,12.78,2.34
"Kyle, TX",4.40,0,13.50,0
"La Crosse, WI",3.00,"1,050.00",12.80,1.57
"La Grange Park, IL",3.00,"1,648.00",0,0
"La Plata, MD",0,"1,620.00",37.33,0
"La Porte, IN",2.95,0,31.50,1.00
"La Quinta, CA",5.00,0,20.00,2.00
"Lacey, WA",3.98,"1,900.00",18.00,2.11
"Lafayette, CO",3.75,0,20.00,2.34
"Lafayette, IN",3.19,"1,167.67",14.75,1.56
"Lafayette, LA",4.11,"1,300.00",13.50,1.67
"Laguna Niguel, CA",5.24,"2,481.00",25.00,2.00
"Lake Charles, LA",4.68,"1,050.00",20.00,2.20
"Lake City, FL",2.96,600.00,27.50,0
"Lake Elsinore, CA",0,0,0,0
"Lake Forest, CA",4.54,"1,000.00",20.00,2.48
"Lake Geneva, WI",3.69,"1,500.00",20.00,2.34
"Lake Havasu City, AZ",3.60,0,45.00,2.00
"Lake Norden, SD",6.00,0,15.00,2.00
"Lake Orion, MI",2.89,"1,400.00",21.50,2.00
"Lake Oswego, OR",3.79,0,29.00,2.00
"Lake Worth, FL",4.50,0,15.00,0
"Lakeland, FL",4.19,"1,893.33",20.00,1.50
"Lakewood, WA",3.89,0,0,0
"Lancaster, CA",5.25,"2,304.50",17.50,2.50
"Lancaster, PA",4.61,"1,383.33",17.00,1.79
"Lansing, MI",3.32,901.67,15.00,1.88
"Laramie, WY",3.42,733.33,20.00,2.50
"Laredo, TX",4.00,941.00,18.00,2.21
"Las Cruces, NM",3.29,970.00,13.00,2.31
"Las Vegas, NV",3.90,"1,527.19",20.00,2.15
"Laurel, MD",4.84,"1,600.00",12.00,1.62
"Laurel, MS",4.30,0,23.00,2.16
"Lawrence, KS",3.19,"1,083.33",11.00,2.04
"Lawrenceville, GA",3.16,"1,240.00",14.50,1.80
"Lawton, OK",3.25,0,14.00,1.50
"League City, TX",4.50,"1,200.00",30.00,2.00
"Leander, TX",0,"1,700.00",16.00,0
"Lebanon, OH",3.00,"1,100.00",30.00,1.00
"Leesburg, VA",4.20,0,13.00,0
"Lehi, UT",3.47,"1,125.00",13.50,2.00
"Lewis Center, OH",2.78,0,30.00,0
"Lewisburg, PA",4.57,775.00,0,0
"Lewiston, ME",5.09,945.00,25.00,2.12
"Lewisville, TX",5.08,"1,200.00",11.00,0
"Lexington Park, MD",3.47,0,20.00,2.04
"Lexington, KY",3.02,"1,400.00",13.50,1.67
"Libertyville, IL",3.25,0,18.00,2.50
"Lihue, HI",6.99,0,46.00,0
"Lima, OH",3.03,0,15.00,2.00
"Lincoln, NE",3.12,"1,040.00",14.00,1.50
"Lisle, IL",3.33,0,18.00,1.67
"Little Rock, AR",3.72,"1,175.00",12.00,1.67
"Littleton, NH",5.75,"1,700.00",25.00,2.50
"Livermore, CA",7.99,0,25.00,4.00
"Livingston, TX",3.98,0,20.00,2.00
"Livonia, MI",5.00,"1,150.00",0,0
"Logan, UT",3.25,"1,355.00",10.25,1.00
"Lombard, IL",0,0,0,0
"Lompoc, CA",3.60,0,18.00,1.79
"London, KY",3.21,579.00,18.50,2.35
"Long Beach, CA",4.25,"2,200.00",17.50,2.48
"Long Branch, NJ",4.13,0,17.50,2.70
"Long Island, NY",4.28,"2,733.33",30.00,1.25
"Longmeadow, MA",5.69,0,0,0
"Longmont, CO",3.75,"1,600.00",25.00,2.75
"Longview, TX",2.76,0,11.50,1.66
"Longview, WA",3.00,"1,300.00",15.00,1.00
"Lorain, OH",2.66,0,45.00,1.50
"Los Alamos, NM",3.50,"1,100.00",17.50,1.50
"Los Angeles, CA",4.74,"2,469.41",25.00,1.99
"Los Banos, CA",3.71,"1,200.00",15.00,2.00
"Los Gatos, CA",5.59,"3,500.00",24.66,0
"Los Santos, NV",7.57,0,0,0
"Louisville, KY",2.16,"1,387.38",20.00,2.01
"Loveland, CO",3.86,"1,900.00",20.00,3.88
"Lowell, MA",3.20,"1,600.00",22.50,0
"Lubbock, TX",4.11,"1,050.00",15.50,1.60
"Lufkin, TX",4.36,0,0,0
"Lumberton, NC",3.26,0,15.00,1.46
"Lynchburg, VA",3.62,0,16.50,2.62
"Lynn, MA",3.69,"3,000.00",0,0
"Lynnwood, WA",4.00,"2,200.00",16.00,1.50
"Macomb, MI",3.45,0,20.00,1.77
"Macon, GA",3.27,925.00,13.50,1.46
"Madison Heights, MI",4.50,0,50.00,0
"Madison, WI",3.38,"1,567.50",15.00,2.18
"Malden, MA",4.67,"2,433.33",20.00,1.75
"Manassas, VA",3.47,"1,900.00",20.00,1.87
"Manchester, NH",2.95,"1,900.00",28.50,1.93
"Manchester, TN",3.50,0,0,0
"Mandeville, LA",4.25,"1,175.00",13.50,1.75
"Manhattan, KS",3.66,925.00,12.00,2.04
"Mankato, MN",5.12,0,20.00,2.00
"Mansfield, CT",3.76,0,15.00,1.46
"Mansfield, OH",3.49,0,15.50,1.88
"Mansfield, PA",4.85,800.00,0,1.00
"Mansfield, TX",0,"1,350.00",14.00,1.70
"Manteca, CA",4.50,"1,900.00",15.00,2.50
"Maple Valley, WA",0,"2,039.00",15.00,0
"Marathon, FL",4.72,"1,700.00",20.00,1.82
"Maricopa, AZ",3.89,0,0,0
"Marietta, GA",3.63,"1,350.00",20.00,2.14
"Marquette, MI",3.73,"1,300.00",17.00,1.50
"Marshfield, WI",2.85,"1,100.00",13.00,1.00
"Martha's Vineyard, MA",4.78,0,25.00,2.00
"Martinez, CA",4.00,"1,700.00",22.00,2.48
"Martinsburg, WV",3.47,"1,050.00",20.00,2.04
"Mason, OH",3.09,0,25.00,0
"Massapequa, NY",4.68,0,17.00,1.79
"Maui, HI",7.75,"2,625.00",25.00,3.00
"McAllen, TX",3.47,900.00,12.00,1.50
"McHenry, IL",2.72,"1,402.00",15.00,1.83
"McKinney, TX",3.59,"1,692.50",15.00,1.88
"McLean, VA",5.00,"2,800.00",18.25,1.50
"McMinnville, OR",5.00,0,25.00,0
"Meadville, PA",0,600.00,14.23,2.00
"Mechanicsburg, PA",4.23,"1,550.00",28.00,1.50
"Medford, MA",0,0,0,0
"Medford, OR",4.10,"1,375.00",20.00,1.52
"Media, PA",4.84,"1,800.00",20.00,1.75
"Medina, OH",4.25,914.44,18.00,1.00
"Melbourne, AR",3.72,"1,058.33",12.00,1.73
"Melbourne, FL",3.85,"1,633.33",21.00,1.99
"Memphis, TN",3.77,"1,024.00",15.50,1.87
"Menifee, CA",4.13,"1,700.00",32.00,2.00
"Menlo Park, CA",6.99,"3,000.00",20.00,0.95
"Menomonie, WI",4.05,975.00,21.60,1.99
"Mentor, OH",3.51,950.00,20.00,1.93
"Merced, CA",4.53,"1,622.50",20.00,2.00
"Merrillville, IN",3.29,0,25.00,2.33
"Mesa, AZ",3.55,"1,734.25",22.00,2.09
"Mesquite, NV",3.09,"1,100.00",0,0
"Miami, FL",4.38,"2,846.73",25.50,2.23
"Middleburg, FL",2.86,0,15.00,1.25
"Middlesex, NJ",4.13,"3,150.00",11.18,2.70
"Middletown, NJ",2.50,0,20.00,2.57
"Middletown, OH",3.00,"1,000.00",15.00,1.00
"Midland, MI",2.72,700.00,15.00,1.00
"Midland, TX",4.25,"1,400.00",0,0
"Midlothian, TX",0,"1,600.00",0,0
"Milford, PA",2.90,0,19.00,1.00
"Milledgeville, GA",3.14,950.00,14.50,1.50
"Milton, FL",4.83,"1,400.00",10.00,2.50
"Milwaukee, WI",3.29,"1,599.38",17.00,1.57
"Minneapolis, MN",3.59,"1,620.00",20.00,2.03
"Minot, ND",3.93,923.33,16.00,2.26
"Mission Viejo, CA",0,"2,650.00",0,0
"Missoula, MT",3.94,"1,400.00",22.50,2.22
"Moab, UT",0,"1,200.00",0,0
"Mobile, AL",4.12,"1,050.00",17.00,1.82
"Modesto, CA",4.07,"1,395.00",15.00,1.50
"Moline, IL",3.29,0,17.00,1.57
"Monett, MO",2.50,"1,000.00",12.00,2.00
"Monroe, LA",4.83,"1,025.00",15.00,0
"Monroe, MI",2.72,"1,050.00",12.00,1.00
"Monrovia, CA",4.00,0,15.00,0
"Montclair, NJ",4.32,"2,000.00",17.50,2.16
"Monterey Park, CA",4.74,0,22.00,1.99
"Monterey, CA",4.88,"2,100.00",16.46,1.65
"Montgomery, AL",3.63,"1,200.00",16.00,2.14
"Monticello, AR",3.43,800.00,0,0
"Montpelier, VT",4.00,"1,300.00",20.00,2.00
"Montross, VA",0,0,30.00,0
"Monument, CO",4.10,"2,000.00",21.00,2.17
"Mooresville, NC",3.42,"1,414.50",20.00,1.50
"Morgantown, WV",2.92,925.00,17.00,2.29
"Morristown, NJ",4.32,"2,150.00",17.50,2.16
"Morristown, TN",3.96,600.00,18.00,1.99
"Morrisville, NC",2.00,"1,100.00",50.00,4.00
"Morrisville, PA",4.13,0,17.50,2.70
"Moscow, ID",3.94,750.00,24.50,2.22
"Moses Lake, WA",3.96,"1,000.00",17.94,0
"Moultrie, GA",3.92,0,20.50,2.02
"Mount Laurel, NJ",4.84,0,17.00,1.62
"Mount Pleasant, MI",3.35,768.00,15.50,1.88
"Mount Vernon, NY",4.68,"1,800.00",17.00,1.79
"Mount Vernon, WA",4.27,"1,550.00",15.00,1.99
"Mountain View, CA",3.65,"2,800.00",20.00,3.50
"Muncie, IN",2.49,985.00,14.00,1.88
"Mundelein, IL",0,"1,100.00",16.00,0
"Murfreesboro, TN",3.56,"1,400.00",23.00,2.16
"Murphysboro, IL",3.40,700.00,0,0
"Murrieta, CA",3.50,"2,450.00",0,0
"Muskegon, MI",3.13,849.00,11.00,2.34
"Muskogee, OK",3.59,900.00,10.00,1.70
"Myrtle Beach, SC",3.67,"1,200.00",15.00,1.50
"Nacogdoches, TX",3.84,900.00,13.50,1.19
"Nampa, ID",3.34,"1,266.00",15.00,0.98
"Napa, CA",5.90,"2,500.00",23.00,0
"Naperville, IL",2.72,"1,900.00",15.00,1.83
"Naples, FL",3.98,"2,975.00",16.50,1.74
"Nashua, NH",3.30,"1,600.00",19.00,2.22
"Nashville, TN",4.20,"2,052.63",18.50,2.35
"Natick, MA",3.00,0,15.00,2.16
"Neenah, WI",4.26,"1,500.00",17.50,1.50
"Neillsville, WI",3.29,0,17.00,1.57
"New Bedford, MA",4.00,"1,500.00",12.00,2.27
"New Bern, NC",3.77,"1,200.00",22.50,1.75
"New Braunfels, TX",3.63,"1,600.00",16.50,1.75
"New Britain, CT",0,"1,100.00",0,0
"New Castle, DE",3.00,0,0,0
"New Castle, PA",3.95,0,0,0
"New City, NY",3.45,"3,100.00",14.00,2.10
"New Haven, CT",4.50,"2,008.33",15.00,2.33
"New Orleans, LA",4.68,"1,725.00",20.00,2.20
"New Paltz, NY",4.32,"1,400.00",17.50,2.16
"New Port Richey, FL",3.99,"1,000.00",8.50,2.33
"New Rochelle, NY",2.00,"2,625.00",15.00,2.00
"New York, NY",5.61,"4,116.53",30.00,2.27
"Newark, DE",3.58,"1,100.00",17.00,2.62
"Newark, NJ",5.02,"2,300.00",19.00,2.22
"Newberg, OR",4.00,0,30.00,2.00
"Newnan, GA",3.56,"1,475.00",19.00,2.00
"Newport Beach, CA",4.54,"3,675.00",22.00,2.50
"Newport News, VA",4.19,"1,150.00",20.00,1.40
"Newport, AR",3.66,0,12.00,2.18
"Newport, OR",3.69,"1,800.00",11.00,1.62
"Newport, RI",4.68,"2,500.00",17.00,1.79
"Newton Falls, OH",3.90,0,0,0
"Newton, IA",5.00,900.00,50.00,2.00
"Newton, MA",4.99,"1,850.00",26.00,2.27
"Niagara Falls, NY",3.89,900.00,25.00,2.00
"Niceville FL,",0,0,0,0
"Nicholasville, KY",3.00,0,13.99,1.25
"Ninilchik, AK",7.99,800.00,20.00,0
"Norfolk, VA",4.13,"2,066.67",18.00,2.62
"Normal, IL",3.29,0,11.50,1.57
"Norman, OK",4.07,"1,350.00",15.00,2.17
"North Brunswick, NJ",0,0,0,0
"North Charleston, SC",3.75,"1,940.00",18.00,2.00
"North East, MD",4.60,0,17.00,2.62
"North Platte, NE",3.00,0,0,0
"Northampton, MA",5.15,"1,900.00",30.00,2.27
"Northfield, MN",3.79,0,0,0
"Norwalk, CA",3.87,0,22.00,0
"Norwalk, CT",3.64,"2,175.00",16.50,1.79
"Norwich, CT",5.61,0,20.00,1.29
"Novi, MI",3.40,"1,500.00",16.00,3.00
"O'Fallon, IL",3.45,0,20.00,1.77
"O'Fallon, MO",3.58,"1,200.00",25.00,2.00
"Oak Harbor, WA",3.80,0,40.00,0
"Oak Lawn, IL",5.00,0,0,0
"Oakland, CA",5.10,"2,421.67",30.00,2.22
"Ocala, FL",4.48,"1,191.67",15.00,1.39
"Oceanside, CA",3.99,"2,500.00",25.00,1.99
"Odessa, TX",4.98,"2,056.00",45.00,2.49
"Ogden, UT",3.57,"1,200.00",14.00,1.81
"Ojai, CA",4.00,"2,300.00",22.00,1.75
"Oklahoma City, OK",4.42,"1,228.25",15.00,1.90
"Olathe, KS",3.33,0,0,0
"Olympia, WA",3.98,"1,798.75",18.00,2.11
"Omaha, NE",3.66,"1,435.00",20.00,2.04
"Oneonta, NY",3.60,"1,100.00",17.50,2.12
"Ontario, CA",4.54,"1,800.00",22.00,2.48
"Orem, UT",3.63,0,15.00,1.50
"Orlando, FL",4.47,"1,944.27",23.00,2.54
"Oroville, CA",3.98,"1,100.00",19.00,2.00
"Oshkosh, WI",2.76,"1,000.00",20.00,2.34
"Otsego, MN",3.29,0,12.00,0
"Ottawa, Illinois",3.30,650.00,25.00,0
"Overland Park, KS",3.80,"1,649.50",16.00,2.04
"Owensboro, KY",3.45,605.00,20.00,1.00
"Oxford, MS",4.12,"1,156.25",30.00,2.00
"Oxnard, CA",3.94,"1,800.00",18.50,2.48
"Oyster Bay, NY",4.32,0,17.00,1.79
"Paducah, KY",2.16,"1,033.33",14.40,2.00
"Pahrump, NV",3.00,0,25.00,1.00
"Palatine, IL",3.50,0,0,0
"Palestine, TX",3.04,700.00,25.00,1.00
"Palm Bay, FL",3.68,"1,250.00",21.00,2.50
"Palm Coast, FL",3.71,"1,625.00",12.00,0.80
"Palm Springs, CA",4.54,"1,740.00",21.00,2.48
"Palmdale, CA",4.54,"1,950.00",22.00,1.00
"Palmer, AK",4.08,"1,250.00",20.00,2.00
"Palmetto, FL",3.00,"1,200.00",0,0
"Palo Alto, CA",5.12,"3,042.78",20.00,2.40
"Panama City, FL",4.07,"1,700.00",19.00,1.81
"Paola, KS",4.49,0,20.00,1.80
"Park City, UT",3.25,"1,850.00",22.50,2.62
"Parker, CO",0,"1,500.00",24.00,3.25
"Parkersburg, WV",3.19,850.00,20.00,2.00
"Parkville, MD",5.00,0,12.00,1.50
"Parma, OH",3.23,"1,000.00",17.50,2.00
"Parsippany-Troy Hills, NJ",4.60,"1,833.33",15.00,2.00
"Pasadena, CA",4.81,"2,750.00",16.50,2.17
"Pasco, WA",3.22,"1,500.00",15.00,2.00
"Paso Robles, CA",5.83,"2,000.00",20.00,1.50
"Paterson, NJ",4.74,"2,750.00",17.50,2.16
"Pawtucket, RI",0,"1,500.00",45.00,2.00
"Pembroke Pines, FL",4.23,"2,000.00",21.00,1.82
"Pensacola, FL",4.07,"1,500.00",19.00,1.81
"Peoria, AZ",3.52,"1,400.00",22.00,1.91
"Peoria, IL",3.38,995.00,15.00,1.10
"Perkasie, PA",5.04,0,22.50,2.57
"Petaluma, CA",4.76,"2,400.00",22.50,0
"Petoskey, MI",0,"1,750.00",15.00,0
"Philadelphia, PA",4.84,"1,776.19",20.00,1.62
"Phoenix, AZ",3.52,"1,583.42",20.00,1.91
"Pierre, SD",0,0,0,0
"Pikeville, KY",2.16,0,20.00,2.01
"Pinehurst, NC",0,0,0,0
"Pinellas Park, FL",4.02,"1,233.33",12.00,1.50
"Piscataway, NJ",4.00,"1,950.00",17.00,2.00
"Pittsburgh, PA",4.45,"1,730.00",20.00,1.53
"Pittsfield, MA",4.32,"1,200.00",17.50,2.16
"Plainfield, IL",0,0,18.00,2.50
"Plano, TX",3.50,"1,666.67",16.00,1.70
"Plattsburgh, NY",2.99,833.33,19.00,2.22
"Pleasanton, CA",4.87,"2,616.67",25.00,1.50
"Plymouth, MI",3.25,0,18.00,2.50
"Pocatello, ID",2.99,850.00,16.50,1.81
"Pomona, CA",4.50,"2,050.00",20.00,1.25
"Ponca City, OK",3.65,575.00,9.00,1.90
"Pooler, GA",4.00,"1,450.00",0,0
Port Angeles,0,0,0,0
"Port Hadlock, WA",3.98,"1,700.00",15.00,1.75
"Port Jefferson Station, NY",4.68,0,17.00,1.79
"Port St Lucie, FL",4.47,"1,595.40",20.00,2.25
"Portland, ME",3.70,"1,866.67",21.00,2.29
"Portland, OR",3.98,"1,814.58",18.00,2.11
"Portsmouth, NH",4.00,"2,500.00",25.00,2.12
"Portsmouth, OH",2.89,650.00,13.00,2.25
"Poughkeepsie, NY",4.58,"1,500.00",17.00,1.25
"Poulsbo, WA",5.00,0,21.00,1.45
"Prattville, AL",4.07,0,0,0
"Prescott, AZ",3.94,"1,232.00",18.00,1.26
"Presque Isle, ME",4.29,750.00,18.00,1.28
"Price, UT",3.57,0,15.00,1.81
"Princeton, NJ",4.13,"2,766.67",17.50,2.33
"Prineville, OR",0,0,20.00,2.00
"Providence, RI",5.09,"1,775.00",17.00,1.79
"Pueblo, CO",4.02,0,43.00,0
"Pullman, WA",3.50,895.00,17.50,1.75
"Puyallup, WA",4.27,"1,800.00",15.00,2.11
"Queen Creek, AZ",2.76,0,22.00,2.19
"Queens, NY",4.68,"2,262.50",17.50,1.79
"Queensbury, NY",3.25,900.00,16.00,2.27
"Quincy, IL",2.91,600.00,22.00,1.25
"Quincy, MA",4.99,"2,750.00",22.00,3.00
"Raleigh, NC",3.67,"1,995.78",20.00,2.34
"Ramsey, NJ",6.00,"3,297.50",30.00,3.00
"Rancho Cucamonga, CA",3.49,"2,600.00",20.00,2.00
"Rancho Palos Verdes, CA",4.54,0,17.50,2.48
"Rapid City, SD",4.08,"1,216.67",15.50,1.66
"Reading, PA",4.53,"2,500.00",16.68,1.50
"Red Bank, NJ",4.13,0,17.50,2.09
"Redding, CA",4.81,"1,500.00",16.00,1.67
"Redlands, CA",3.58,"1,800.00",12.00,2.00
"Redmond, WA",4.50,"2,300.00",20.00,2.47
"Redondo Beach, CA",5.50,"2,651.67",27.50,3.50
"Redwood City, CA",5.43,"4,000.00",25.00,0
"Rehoboth Beach, DE",3.85,"1,600.00",17.00,2.50
"Reno, NV",4.03,"1,520.50",19.00,2.00
"Renton, WA",3.00,"1,450.00",0,0
"Reston, VA",4.60,"2,200.00",20.00,2.25
"Rhinelander, WI",3.38,700.00,14.00,1.00
"Richland, WA",3.72,"1,125.00",18.00,0
"Richmond, KY",3.19,800.00,10.00,1.56
"Richmond, VA",3.47,"1,578.76",20.00,2.04
"Ridgecrest, CA",4.25,0,17.50,2.00
"Ridgefield, CT",0,0,32.50,1.50
"Ridgewood, NJ",4.99,"3,000.00",18.00,1.50
"River Falls, WI",3.87,0,20.00,0
"Riverside, CA",3.80,"1,800.00",18.00,1.67
"Roanoke, VA",3.95,"1,225.00",18.00,1.38
"Robinson, IL",4.50,450.00,0,0
"Rochester, MI",3.25,"1,200.00",18.00,2.50
"Rochester, MN",3.53,"1,233.33",14.50,1.50
"Rochester, NY",3.78,"1,481.43",24.00,1.84
"Rock Hill, SC",3.13,"1,500.00",18.00,1.75
"Rock Island, IL",3.29,0,17.00,1.57
"Rock Springs, WY",0,799.00,0,0
"Rockford, IL",2.66,0,15.00,1.43
"Rockford, MI",4.75,0,40.00,2.50
"Rocklin, CA",5.17,"1,906.00",16.00,1.67
"Rockville, MD",4.60,"2,061.00",17.00,2.04
"Rockwall, TX",2.99,"1,125.00",0,0
"Rocky Hill, CT",5.61,"1,600.00",30.00,2.27
"Rocky Mount, NC",3.26,0,20.00,2.83
"Rogers, AR",4.20,0,12.50,2.11
"Rolla, MO",4.02,500.00,15.00,1.25
"Rome, GA",3.53,"1,266.67",12.00,1.99
"Roseburg, OR",3.84,"1,300.00",18.00,1.29
"Roseville, CA",5.11,"2,315.25",15.00,2.57
"Round Rock, TX",4.03,"1,450.00",20.00,1.50
"Roxboro, NC",3.00,0,20.00,0
"Roy, UT",3.57,0,16.50,1.81
"Royal Oak, MI",4.57,"1,700.00",20.00,2.69
"Royersford, PA",4.32,0,17.50,2.16
"Russellville, AR",3.77,700.00,7.00,1.87
"Rutherford, NJ",4.50,"1,400.00",22.50,2.16
"Rutland, VT",0,"1,200.00",0,0
"Sacramento, CA",5.11,"2,264.38",18.00,2.32
"Safety Harbor, FL",4.05,"1,500.00",6.00,1.50
"Saginaw, MI",2.72,800.00,15.00,1.83
"Saint Charles, IL",0,0,37.50,4.00
"Saint Charles, MO",3.25,0,20.00,1.77
"Saint Cloud, MN",3.51,700.00,20.00,2.03
"Saint George, UT",3.07,"1,400.00",17.00,1.25
"Saint Joseph, MI",5.99,"1,200.00",18.00,1.29
"Saint Joseph, MO",3.92,550.00,16.00,1.24
"Saint Louis, MO",3.45,"1,315.86",20.00,1.77
"Saint Paul, MN",3.79,"1,373.71",13.00,2.27
"Saint Petersburg, FL",3.98,"1,900.00",16.50,1.74
"Salem, MA",5.99,"2,000.00",20.00,3.00
"Salem, OH",3.19,0,14.00,2.50
"Salem, OR",3.75,"1,750.00",15.00,2.13
"Salina, KS",3.12,637.50,14.00,1.00
"Salinas, CA",5.20,"3,000.00",50.00,1.00
"Salisbury, MD",3.11,"1,550.00",25.00,0
"Salt Lake City, UT",3.57,"1,702.65",16.50,1.81
"San Angelo, TX",3.98,950.00,20.00,2.27
"San Antonio, TX",4.05,"1,700.93",18.00,2.21
"San Bernardino, CA",4.54,"1,875.00",22.00,2.48
"San Clemente, CA",3.99,"2,225.00",65.00,0
"San Diego, CA",4.54,"2,943.00",22.00,2.48
"San Dimas, CA",4.54,"2,180.00",22.00,2.48
"San Francisco, CA",6.08,"3,105.62",25.00,2.25
"San Jose, CA",5.12,"2,742.27",20.00,2.65
"San Leandro, CA",7.00,"2,400.00",20.00,3.00
"San Luis Obispo, CA",4.17,"2,216.67",17.50,2.37
"San Marcos, TX",3.64,"1,320.00",16.50,1.94
"San Mateo, CA",4.57,"2,525.00",24.00,2.67
"San Rafael, CA",4.68,"3,100.00",42.50,2.67
"San Ramon, CA",4.00,"2,500.00",18.00,3.00
"Sandpoint, ID",4.25,"2,100.00",14.33,2.21
"Sandusky, OH",0,875.00,20.00,2.00
"Sanford, NC",3.96,0,16.00,1.99
"Santa Ana, CA",4.25,"2,000.00",18.50,2.48
"Santa Barbara, CA",4.26,"2,595.00",22.00,2.48
"Santa Clara, CA",5.00,"2,933.33",30.00,3.00
"Santa Clarita, CA",4.54,"2,862.50",20.00,2.48
"Santa Cruz, CA",4.87,"3,246.25",20.00,2.63
"Santa Fe, NM",4.13,"1,875.00",16.00,1.67
"Santa Maria, CA",5.16,"2,241.33",23.00,0
"Santa Monica, CA",4.74,"2,900.00",25.00,2.00
"Santa Rosa, CA",4.87,"2,286.67",20.00,2.08
"Sarasota, FL",4.23,"2,162.50",22.50,2.33
"Saratoga Springs, NY",4.16,"2,200.00",17.00,1.50
"Saratoga, CA",5.12,"7,000.00",20.00,2.65
"Satellite Beach, FL",3.00,0,12.00,2.00
"Savannah, GA",3.05,"2,366.67",15.00,1.46
"Schaumburg, IL",0,"1,650.00",22.00,0
"Schenectady, NY",5.10,"1,300.00",12.00,2.25
"Scottsbluff, NE",3.43,650.00,0,0
"Scottsdale, AZ",3.94,"1,950.00",20.00,1.91
"Scranton, PA",2.86,"1,237.50",12.00,1.00
"SeaTac, WA",3.98,"1,500.00",18.00,2.11
"Seaside, OR",3.99,0,20.00,2.47
"Seattle, WA",4.57,"2,349.20",20.00,2.47
"Sebring, FL",4.38,"1,400.00",15.00,2.15
"Sedalia, MO",0,0,0,0
"Sequim, WA",4.29,"1,950.00",17.00,1.00
"Severn, MD",0,"1,600.00",40.00,0
"Sharon, MA",4.00,0,25.00,2.00
"Sheboygan, WI",2.63,800.00,10.00,1.00
"Shelby Township, MI",0,0,0,0
"Shelby, NC",2.50,750.00,14.00,1.25
"Sheldon, IA",5.00,0,20.00,2.50
"Sheridan, WY",4.71,"1,275.00",14.00,1.25
"Shoreline, WA",5.99,0,25.00,2.00
"Shreveport, LA",3.59,943.33,16.00,1.70
"Sicklerville, NJ",3.00,0,16.50,1.00
"Sidney, NE",3.50,0,25.00,2.00
"Sierra Vista, AZ",0,900.00,17.00,1.75
"Silver City, NM",3.00,0,24.00,1.40
"Silver Spring, MD",4.60,"1,760.00",20.00,2.04
"Simi Valley, CA",4.49,"1,911.67",17.00,1.92
"Simpsonville, SC",3.00,0,12.00,0
"Sioux City, IA",2.76,750.00,17.50,1.65
"Sioux Falls, SD",3.66,"1,200.00",12.50,2.04
